name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
Family Guy Stewie and Tuxedo Brian Nanco Plush Dolls,1500,Pre-Owned,900,True,
"Family Guy: Stewie ""11"" Plushie Nanco (2005)",1490,Pre-Owned,685,False,
2008 stewie griffin stuffed plushie 7” - family guy,1550,Pre-Owned,610,False,
Family Guy 2005 Rare Angry Monkey  Plushie- New With TAG. ,4178,Brand New,2800,False,
Family Guy The Newest Season20 for 2022 DVD Box Set,1258,Brand New,0,False,162
Family Guy the complete series DVD collection season --- 20 DVD  us region 1,1999,Brand New,0,False,50
New ListingFunko Pop! Animation Family Guy Stewie #33 Vinyl Figure In Box,2800,Brand New,0,False,
"Family Guy 6"" figures mezco Nighttime Peter & Lois with Helmet Accessory",1995,Pre-Owned,690,False,
2006 Family Guy Mini Boxed Set figures with 6  piece  Accessories,2345,Pre-Owned,590,False,
New ListingFamily Guy Mezco Toyz Nighttime Lois and Peter Action Figure Set NEW,3999,Brand New,1710,False,
Mezco One:12 Joker Gotham by Gaslight parts head hands lot ,3995,Pre-Owned,0,True,
 2011 Family Guy Crazy Interactive World Series STEWIE HALLOWEEN  Figure ,2100,Brand New,610,False,
Family Guy Louise Doll 9 Inch Plush NWT,750,Brand New,500,False,
Family Guy Quagmire Key Chain,998,Brand New,299,False,112
"Family Guy 6"" figures mezco Nighttime Peter & Lois with Accessories",2295,Pre-Owned,690,False,
Blind Bag Bags Brand new Sealed lot of 3 Pack packs K’nex Family Guy Series 1,1099,Brand New,0,False,0
Family Guy - MORT GOLDMAN action figure - Series 4 - Mezco - New ,1918,Brand New,2737,False,
family guy original figure's. 80 each or 500 for the lot.buyer pays shipping.,5865,Brand New,1100,False,
 Family Guy 2004 STEWIE MAGNET COLLECTION 13 Magnets NIP,749,Brand New,587,False,
Commonwealth Family Guy Stewie Griffin Plush Backpack Clip-On Push Toy Lot of 11,9366,Brand New,0,True,
New ListingMezco Action Figur  Family Guy Series 6 - Sexy Party Stewie w/Martini and  New,2400,Brand New,1060,False,
Youtooz Slimecicle Ted Nivison Beef Boss Cleetus Pyrocynical - for your choice  ,9993999,Pre-Owned,699,True,
"Youtooz Family Guy Collection Consuela Vinyl Figure 4.6"" Toy Maid",5999,Brand New,0,False,0
New ListingKidRobot South Park and Family Guy Lot!!!,5000,Pre-Owned,1768,False,
Mezco FAMILY GUY Nighttime Lois and Peter Bondage Action Figures BRAND NEW,4200,Brand New,882,True,
Family Guy 25” Plush Type Quagmire Doll “Read Description “,2499,Brand New,2110,False,0
2006 MEZCO FAMILY GUY Series 6 CLEVEMIRE 6” Action Figure!,2299,Brand New,600,False,
FAMILY GUY FIGURES Mezco Brian's Cousin Jasper & Christobel Artist,1099,Pre-Owned,651,False,0
 2011 Family Guy Crazy Interactive World Series STEWIE clever  Figure ,3000,Brand New,1260,False,
Tiny TV Classics: FAMILY GUY Edition Collectible Color Show NEW,3800,Brand New,0,False,0
