name,price,status,shipping,free_returns,items_sold
Family Guy the complete series DVD collection season --- 20 DVD  us region 1,1999,Brand New,0,False,54
"Family Guy, Vol. 2: Season 3 - DVD - VERY GOOD",364,Pre-Owned,0,True,
"Family Guy, Volume Four - DVD - VERY GOOD",407,Pre-Owned,0,True,
"Family Guy Presents Stewie Griffin: The Untold Story (DVD, 2005, Unrated)",333,Pre-Owned,0,False,
Family Guy The Newest Season20 for 2022 DVD Box Set,1258,Brand New,0,False,178
Family Guy: Partial Terms of Endearment DVD,550,Pre-Owned,0,True,
"Family Guy: The Freakin' Sweet Collection (DVD, 2004)",99,Pre-Owned,399,True,
Family Guy: Volume One DVD,365,Pre-Owned,0,True,
Family Guy Complete Series Collection Season 1-18 DVD  Free shipping,6399,Brand New,0,False,61
Family Guy Death Action Figure Hooded Variant Series 2 Mezco,2000,Pre-Owned,995,False,
Family Guy Volume 3: Season 4 (DVD),199,Brand New,416,False,
Family Guy: Blue Harvest - DVD Includes Digital Copy Disc,650,Pre-Owned,0,False,
"Family Guy, Volume Three - DVD - VERY GOOD",364,Pre-Owned,0,True,
"Family Guy, Volume Five - DVD By Seth MacFarlane - GOOD",378,Pre-Owned,0,True,
"Family Guy, Volume One - DVD By Seth MacFarlane - VERY GOOD",366,Pre-Owned,0,True,
Family Guy Season 1-20 DVD The Complete Series 64-Disc Boxed Set Free Shipping,8563,Brand New,0,False,12
Family Guy: Volume Two DVD,365,Pre-Owned,0,True,
FAMILY GUY: SEASON 17 NEW DVD (STILL SEALED) (2018),1250,Brand New,349,False,
"Family Guy, Volume Six DVD",542,Pre-Owned,0,True,
"Family Guy: Season 16 [New DVD] Ac-3/Dolby Digital, Dolby, Dubbed, Subtitled,",1218,Brand New,0,True,
"Family Guy, Volume Eight DVD",533,Pre-Owned,0,True,
The Family Guy Star Wars Trilogy (DVD),999,Brand New,349,False,
"Family Guy, Volume Eight - DVD By Family Guy - GOOD",468,Pre-Owned,0,True,
Family Guy Complete 14th Season 14 Fourteen BRAND NEW 3-DISC DVD SET Sealed,2700,Brand New,349,False,
"Family Guy Volumes 1 and 2 (Seasons 1-3) DVD, Seth MacFarlane",400,Pre-Owned,416,False,
"Family Guy (Sony PlayStation 2, PS2 2006) Black Label Disk Case No Manual",1299,Pre-Owned,0,False,
FAMILY GUY: SEASON 17 NEW DVD,1588,Brand New,0,False,49
Family Guy: Part 2: Volumes 6-10 (DVD),499,Pre-Owned,416,False,
Family Guy Bendables 6 Piece Poseable Figures Complete Set ,2499,Pre-Owned,2605,False,
"DVD Sale, Pick Choose Your Movies, Combined Ship Huge Used Lot, A+ Movie Titles",100,Pre-Owned,395,True,
Family Guy Presents Blue Harvest - DVD - VERY GOOD,359,Pre-Owned,0,True,
Family Guy Season 11 DVD,648,Pre-Owned,0,True,
"Family Guy: Volume 5 Five (DVD, 2007, 3-Disc Set) NEW",597,Brand New,0,True,
Family Guy: Blue Harvest (DVD),1999,Pre-Owned,600,False,
Family Guy DVD Lot,975,Pre-Owned,0,False,
 POSTER -TV: CARTOON: FAMILY GUY - GROUP POSE-FREE SHIP  #3840   RAP14 A,1597,Brand New,0,False,
Family Guy Season 1-19 DVD Complete Series Set New Sealed,7388,Brand New,0,False,
"Family Guy, Volume Five DVD",548,Pre-Owned,0,True,
Family Guy: Partial Terms of Endearment DVDs,598,Pre-Owned,0,True,
Family Guy Sony PlayStation 2 PS2 Disc Only Tested And Working,1499,Pre-Owned,0,False,
Family Guy:  Seasons 1-20 The Complete Series(64-Discs) DVD Box Set Brand New,8579,Brand New,0,False,
"Family Guy, Volume Seven DVD",498,Pre-Owned,0,True,
family guy season seventeen dvd New See Details,999,Brand New,0,False,
"Stewie Griffin Family Guy 8"" Plush Stuffed Soft Toy Nanco 2004",750,Pre-Owned,399,True,
DVD Lot FAMILY GUY Volume 2 3 4 5 6 7 + Blue Harvest + Robot Chicken FREE SHIP!,2500,Brand New,0,False,
Family Guy Season Twelve - DVD By Mike Henry - GOOD,544,Pre-Owned,0,True,
"Family Guy  "" Merry Freakin Christmas "" Beer Glass w/ Stewie & Brian - Unused",949,Brand New,1061,False,
FAMILY GUY - The Freakin Sweet Collection (DVD) NEW SEALED ((FREE SHIPPING)),699,Brand New,0,False,
"Family Guy: Freakin Sweet Collection - Best of (DVD, 2004)",260,Pre-Owned,349,False,
Stern Family Guy Pinball Machine Lois Figure Modified 511-5050-00 NOS! Free Ship,1999,Brand New,0,True,
"Family Guy Presents Blue Harvest (DVD, Standard Edition)",330,New (Other),349,False,
"Family Guy Volume 2: Season 3 (DVD, 2000)",950,Pre-Owned,349,False,
Family Guy Presents: Blue Harvest (Blu-ray),299,New (Other),349,False,
"Family Guy ""The Freakin' Sweet Collection"" PSP UMD VIDEO DISK ONLY",1,Pre-Owned,349,False,
New SEALED 2005 Mezco Family Guy Lethal Lois Series 4 MOC,999,Brand New,589,True,
SEALED 2007 Mezco Family Guy Neil Goldman Variant Series 7 Upside Down? READ!,1499,Brand New,589,True,
Family Guy Presents - Stewie Griffin: The Untold Story - DVD - VERY GOOD,359,Pre-Owned,0,True,
Family Guy: It's A Trap! [Blu-ray/ DVD + Digital Copy],1,Pre-Owned,399,False,
Family Guy Volume 3: Season 4 (DVD),99,Pre-Owned,349,False,
"Family Guy (Sony PlayStation 2, 2006)",1570,New (Other),600,False,
FAMILY GUY - The Complete Thirteenth 13 Thirteen Season DVD,1195,Pre-Owned,0,True,
K’Nex Family Guy Peter and Station Wagon Building Set,799,Brand New,1190,False,
Family Guy dvd lot of 7,2500,Pre-Owned,0,False,
"Family Guy - The Freakin Sweet Collection (DVD, 2004)",99,Pre-Owned,600,False,
"Family Guy Volume 1: Seasons 1 & 2 (DVD, 1999)",500,New (Other),500,False,
"Family Guy, Volume Six - DVD - GOOD",482,Pre-Owned,0,True,
Family Guy Two-Pack (DVD),99,Pre-Owned,349,False,
"Family Guy - The Freakin Sweet Collection Spotlight Series (DVD, 2004)",299,Pre-Owned,349,False,
Family Guy: It's a Trap! (DVD),500,Pre-Owned,349,False,
Family Guy Video Game PS2 PlayStation 2 CIB TESTED AUTHENTIC WORKING,1400,Pre-Owned,610,False,
Family Guy VIDEO GAME  PSP Complete with case and manual Tested and working! CIB,2498,Pre-Owned,0,True,
Family Guy Season 16 Sixteen DVD 2017,450,Pre-Owned,400,True,
"Family Guy Presents Stewie Griffin: Untold Story (DVD, 2005)",499,Pre-Owned,0,False,
Family Guy Brian Pin,899,Brand New,560,False,
Vintage Original Family Guy Family Fever T-Shirt Size XL,1500,,699,False,
Vintage Original Family Guy Family Fever T-Shirt Size XL,1500,,699,False,
"Even At My Lois I Was Still A Family Guy T-Shirt, Even At My Lois Shirt KL1947",1614,Brand New,0,False,
"Family Guy: Something, Something, Something, Darkside - DVD - VERY GOOD",398,Pre-Owned,0,True,
"Family Guy (Sony PlayStation 2, 2006)",1500,Pre-Owned,560,False,
Family Guy Video Game PS2 PlayStation 2 CIB TESTED AUTHENTIC WORKING,1400,Pre-Owned,610,False,
Family Guy VIDEO GAME  PSP Complete with case and manual Tested and working! CIB,2498,Pre-Owned,0,True,
"Family Guy Presents Stewie Griffin: Untold Story (DVD, 2005)",499,Pre-Owned,0,False,
The Family Guy: Volume 6 (DVD),349,Pre-Owned,349,False,
FAMILY GUY - Volume Season 10 Ten - DVD,699,Pre-Owned,0,True,
Family guy dvd lot Volumes 1 - 7,1490,New (Other),617,False,
"Family Guy (Microsoft Xbox, 2006) NO MANUAL",1699,Pre-Owned,499,False,
"Family Guy (Sony PlayStation 2, 2006) CIB",1499,Pre-Owned,0,False,
Family Guy Season 11 (DVD),99,New (Other),349,False,
Family Guy Peter Lois Meg Stewie Brian Series Characters ID Holder Lanyard,499,Brand New,400,False,
Comedy DVD Sale Lot Classic Funny Humor Movie Combined Shipping CHEAP ,100,Pre-Owned,395,True,
New SEALED 2005 Mezco Family Guy Mutant Stewie Series 2 MOC,999,Brand New,589,True,
"Family Guy, Volume Four DVD",495,Pre-Owned,0,True,
Family Guy Bundle,420,Pre-Owned,610,False,
Jumbo Brian Griffin Family Guy Dog Stuffed Plush Doll Toy Factory 24” Large,3700,Pre-Owned,0,False,
Family Guy Season 16 DVD Set 3 Discs Pre-Owned,500,New (Other),349,False,
Stern Family Guy Pinball Machine Lois Figure Modified 511-5050-00 NOS! Free Ship,1999,Brand New,0,True,
"FAMILY GUY: Volume Seven (2009, Fox)  3-Disc DVD Set!",799,Pre-Owned,0,False,
Family Guy Autograph Card A4 Mike Henry as Cleveland Brown,3499,Pre-Owned,0,True,
"Family Guy Volume 2: Season 3 (DVD, 2000)",349,Pre-Owned,349,False,
"Family Guy - Volume 2: Season 3 (DVD, 2003, 3-Disc Set) NEW",537,Brand New,0,True,
"Family Guy Presents Blue Harvest (DVD, 2009, Standard Edition)",99,Pre-Owned,550,False,
Family Guy Episode IV A New Hope Evil Empire CL1 Case Loader Insert,1699,Pre-Owned,0,True,
Family Guy K’nex Series 1 Figures Lot Of 5 Different Coded Blind Bags NEW,1200,Brand New,0,False,
Stern Family Guy Pinball Machine Meg Figure Modified 880-5084-01-01 NOS!,1999,Brand New,0,True,
Family Guy Dvd Seasons 1-7,1800,Pre-Owned,349,False,
New SEALED 2005 Mezco Family Guy Mort Goldman Series 4 MOC,999,Brand New,589,True,
Stern Family Guy Pinball Machine Brian Figure Modified 880-5084-00-01 NOS!,1999,Brand New,0,True,
Family Guy Disc 4 Season 2 Episodes 15-21,349,Pre-Owned,449,False,
Family Guy Volume 4: Season 4 (DVD),399,Pre-Owned,349,False,
"Family Guy: It's a Trap! (DVD, includes Digital Copy, 2010)",500,New (Other),349,False,
"Family Guy, Volume Five - DVD By Seth MacFarlane - VERY GOOD",378,Pre-Owned,0,True,
