name,price,status,shipping,free_returns,items_sold
"The Economy of Cities by Jacobs, Jane",600,Pre-Owned,0,True,
"The Death and Life of Great American Ci- 0679600477, hardcover, Jane Jacobs, new",1880,Brand New,0,False,
"Dark Age Ahead by Jacobs, Jane",500,Pre-Owned,0,True,
"Dark Age Ahead - hardcover, Jane Jacobs, 0679313095, new",2294,Brand New,0,True,
The Death and Life of Great American Cities Paperback Jane Jacobs,851,Pre-Owned,0,False,
Jane Jacobs The Death and Life of Great American Cities 1st Ed 2nd Print 1961 DJ,6500,Pre-Owned,475,False,
Systems of Survival Jane Jacobs Urban Studies Activism Economics,599,Pre-Owned,399,True,
Wrestling with Moses: How Jane Jacobs Took On New York's Master Builder and Tran,99,Pre-Owned,416,False,
"The Nature of Economies - 0375702431, paperback, Jane Jacobs, new",1509,Brand New,0,False,
"The Nature of Economies by Jacobs, Jane",599,Pre-Owned,0,False,
"Cities and the Wealth of Nations by Jacobs, Jane",800,Pre-Owned,0,True,
Walking in the City with Jane: A Story of Jane Jacobs,707,Pre-Owned,0,False,
Nature of Economies Hardcover Jane Jacobs,518,Pre-Owned,0,False,
"Wrestling with Moses: How Jane Jacobs- 1400066743, hardcover, Anthony Flint, new",2297,Brand New,0,False,
"Wrestling with Moses: How Jane Jacobs- 1400066743, hardcover, Anthony Flint, new",2323,Brand New,0,True,
Block by Block: Jane Jacobs and the Future of New York (2008),3112,Brand New,0,False,
"The Death and Life of Great American Cities Jacobs, Jane",1949,Pre-Owned,0,False,
"Cities and the Wealth of Nations Paperback Jane, Jacobs, Jane Jac",533,Pre-Owned,0,False,
"Dark Age Ahead , Paperback , Jacobs, Jane",475,Pre-Owned,0,False,
MARVEL ESSENTIAL PETER PARKER THE SPECTACULAR SPIDER-MAN VOL 1,1099,Pre-Owned,483,False,
Wrestling with Moses: How Jane Jacobs Took On New York's Master Builder and Tra,899,Pre-Owned,399,True,
"The Lost Massey Lectures by Galbraith, John; Goodman, Paul; Jacobs, Jane",500,Pre-Owned,0,True,
"Women Who Invented the Sixties : Ella Baker, Jane Jacobs... (ARC Pb, 9/20/22)",249,Brand New,499,False,
"`Jacobs, Jane`-Cities And The Wealth Of Nations BOOK NEW",999,Brand New,299,False,
The Death and Life of Great American Cities (Modern Library Series) by Jane Jac,607,Pre-Owned,0,True,
The Battle for Gotham: New York in the Shadow of Robert Moses and Jane Jacobs,900,Pre-Owned,0,True,
Toronto: Considering Self-government by Jane Jacobs; Mary W. Rowe,800,New (Other),0,True,
Flint: Wrestling with Moses New York City Planning Robert Moses Jane Jacobs,1200,Pre-Owned,586,False,
"Howard Ben Tre by Patterson Sims, Arthur C. Danto and Mary Jane Jacob (2007,...",2999,Pre-Owned,400,False,
"Dark Age Ahead - hardcover, Jane Jacobs, 0679313095",358,Pre-Owned,0,False,
Jane Jacobs THE ECONOMY OF CITIES  Book Club Edition,8495,,695,False,
THE DEATH AND LIFE OF GREAT AMERICAN CITIES JANE JACOBS 1961 1st Edition & Print,44000,,0,True,
Vintage 1960 Pennsylvania Dutch How To Paint and Decorate Furniture Tinware Zook,881,Pre-Owned,449,False,
The Battle for Gotham: New York in the Shadow of Robert Moses and Jane Jacobs,800,Pre-Owned,0,True,
"Jane Jacobs: The Last Interview: And Other Conversations by Jacobs, Jane",900,Pre-Owned,0,True,
Eyes on the Street : The Life of Jane Jacobs Hardcover Robert Kan,612,Pre-Owned,0,False,
"Visionary Women: How Rachel Carson, Jane Jacobs, Jane Goodall, and Alice...",600,Pre-Owned,0,True,
