name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
"Never Let Me Go - Paperback By Ishiguro, Kazuo - GOOD",439,Pre-Owned,0,True,
"The Remains of the Day - Paperback By Ishiguro, Kazuo - GOOD",385,Pre-Owned,0,True,
"Never Let Me Go by Ishiguro, Kazuo",409,Pre-Owned,0,True,
"The Buried Giant (Vintage International) - Paperback By Ishiguro, Kazuo - GOOD",401,Pre-Owned,0,True,
Never Let Me Go by Kazuo Ishiguro,399,Pre-Owned,0,True,
Kazuo Ishiguro book bundle,2000,Pre-Owned,0,False,
"The Unconsoled - Paperback By Ishiguro, Kazuo - GOOD",425,Pre-Owned,0,True,
"The Remains of the Day by Ishiguro, Kazuo",409,Pre-Owned,0,True,
"A Pale View of Hills - Paperback By Ishiguro, Kazuo - GOOD",398,Pre-Owned,0,True,
"When We Were Orphans: A Novel - Paperback By Ishiguro, Kazuo - GOOD",386,Pre-Owned,0,True,
Never Let Me Go By Kazuo Ishiguro. 9780571224135,873,Pre-Owned,0,False,0
New ListingThe Remains of the Day by Kazuo Ishiguro UNCORRECTED PROOF FINE trade-size pb,1599,,450,False,
"An Artist of the Floating World - Paperback By Ishiguro, Kazuo - GOOD",436,Pre-Owned,0,True,
"The Unconsoled by Ishiguro, Kazuo",500,Pre-Owned,0,True,
"New ListingNever Let Me Go , paperback , Ishiguro, Kazuo",475,Pre-Owned,0,False,
"New ListingNever Let Me Go - 1400078776, paperback, Kazuo Ishiguro, new",1334,Brand New,0,False,
New Listing1st American Edition 1st Printing The Unconsoled by Kazuo Ishiguro!,99,Pre-Owned,416,False,
"Never Let Me Go by Kazuo Ishiguro (First Vintage International Edition, 2006)",799,Pre-Owned,0,False,
NOCTURNES by Kazuo Ishiguro Paperback,956,Pre-Owned,0,False,0
"SIGNED Klara and The Sun by Kazuo Ishiguro (2021, Hardcover) Autographed!",3999,Pre-Owned,0,True,
Klara and the Sun : A Novel - Kazuo Ishiguro - Hardcover Science Fiction ,489,Pre-Owned,416,True,
First Vintage International:An Artist of the Floating World by Kazuo Ishiguro...,704,Pre-Owned,416,False,
"When We Were Orphans by Ishiguro, Kazuo",500,Pre-Owned,0,True,
"Klara and The Sun by Kazuo Ishiguro (2021, Hardcover)",600,Brand New,416,False,
The Remains of the Day Hardcover Kazuo Ishiguro Ex-library Hardcover VG,300,Pre-Owned,349,False,
"The Buried Giant: A novel , hardcover , Ishiguro, Kazuo",506,Pre-Owned,0,False,
"Vintage International Ser.: The Buried Giant by Kazuo Ishiguro (2016, Trade...",640,Pre-Owned,0,False,
Kazuo Ishiguro When We Were Orphans Shangai Chilhood Memories  Lost Parents Hunt,499,Pre-Owned,0,False,
NEVER LET ME GO Turkish Novel KAZUO ISHIGURO Dystopian SCIENCE FICTION,3500,New (Other),1750,False,
The Remains of the Day 1993 Paperback Book by Kazuo Ishiguro,480,Pre-Owned,349,True,
"When We Were Orphans - 9780571205622, Kazuo Ishiguro, paperback",358,Pre-Owned,0,False,
Kazuo Ishiguro The Unconsoled  1995 1st US Edition Alfred Knopf Hardback,1200,Pre-Owned,416,False,
Klara And The Sun Kazuo Ishiguro ,949,New (Other),349,False,0
"The Buried Giant; Vintage International - Kazuo Ishiguro, 0307455793, paperback",897,Brand New,349,False,
New ListingTHE REMAINS OF THE DAY by Kazuo Ishiguro PACKAGED CAREFULLY AND SAFELY Good cond,400,Pre-Owned,349,False,
"A Pale View of Hills; Ishiguro, Kazuo",503,Pre-Owned,416,False,
"The Remains of the Day by Ishiguro, Kazuo , paperback",420,Pre-Owned,0,True,
The Unconsoled Paperback Kazuo Ishiguro,593,Pre-Owned,0,False,
The Remains of the Day by Kazuo Ishiguro Trade Paperback ,399,Pre-Owned,399,True,
"The Remains of the Day - paperback, 9780679731726, Kazuo Ishiguro",384,Pre-Owned,0,False,
THE REMAINS OF THE DAY  by Kazuo Ishiguro  1993 Vintage trade paperback,300,Pre-Owned,360,True,
Never Let Me Go By Kazuo Ishiguro NEW Paperback 2021,1390,Brand New,0,False,
"Never Let Me Go by Kazuo Ishiguro (2005, Hardcover) 1st Edition",1500,Pre-Owned,416,False,
The Remains of the Day,469,Pre-Owned,0,False,
"The Unconsoled by Kazuo Ishiguro (1995, Hardcover)",1300,Pre-Owned,0,True,
SIGNED THE BURIED GIANT Kazuo Ishiguro 1st US Edition 2015 Knopf Book,6000,New (Other),0,False,
Klara And The Sun by Kazuo Ishiguro - UK Edition - Very Good Condition ,900,Pre-Owned,349,False,
"1st American Edition, The Unconsoled by Kazuo Ishiguro, Fine",1599,Pre-Owned,416,False,
"A Pale View of Hills by Ishiguro, Kazuo",599,Pre-Owned,0,False,0
The Remains of the Day Paperback Kazuo Ishiguro,532,Pre-Owned,0,False,
"Never Let Me Go - Kazuo Ishiguro (1st edition 2nd print HC) Alfred A Knopf, 2005",3599,Pre-Owned,416,False,
"The Remains of the Day By Kazuo Ishiguro (1988, Hardcover BOTM)  NEW",2499,Brand New,416,False,
Never Let Me Go by Kazuo Ishiguro (2005 Hardcover) First Edition 1st Printing!,3499,Pre-Owned,416,False,
"NEVER LET ME GO - paperback, ISHIGURO KAZUO, 9780571258093",574,Pre-Owned,0,False,
"Never Let Me Go by Kazuo Ishiguro (2005, Hardcover) 1st Edition",3600,Pre-Owned,416,False,
"Klara and the Sun: The Times and Sunday Times Book of the ... by Ishiguro, Kazuo",1248,Pre-Owned,0,False,
"The Buried Giant: A novel by Ishiguro, Kazuo , hardcover",448,Pre-Owned,0,True,
"The Buried Giant: A Novel by Ishiguro, Kazuo , Hardcover",582,Pre-Owned,0,True,
"Klara And The Sun by Kazuo Ishiguro, Hardcover",899,New (Other),416,False,
"Never Let Me Go by Kazuo Ishiguro (2010, Trade Paperback, Movie Tie-In)",699,Pre-Owned,0,False,
"The Remains of the Day: Faber Moder..., Ishiguro, Kazuo",1039,Pre-Owned,0,False,
"The Buried Giant [Vintage International] Ishiguro, Kazuo",599,Pre-Owned,399,False,
New ListingThe Buried Giant [Vintage International],506,Pre-Owned,0,False,0
"A Pale View of Hills by Ishiguro, Kazuo",600,Pre-Owned,0,True,
SIGNED Never Let Me Go by Kazuo Ishiguro 2005 HCDJ 1st/1st First US Edition,15100,Pre-Owned,0,False,
Klara and the Sun: A novel [Vintage International],949,Pre-Owned,0,False,0
When We Were Orphans: A Novel by Kazuo Ishiguro (0375724400) Paperback,1299,Brand New,0,False,
Never Let Me Go Paperback Kazuo Ishiguro,625,Pre-Owned,0,True,
"A Pale View of Hills by Ishiguro, Kazuo , paperback",420,Pre-Owned,0,True,
"The Unconsoled - Hardcover By Ishiguro, Kazuo - VERY GOOD",408,Pre-Owned,0,True,
"Klara and the Sun: A Novel by Kazuo Ishiguro (2021, Hardcover) FIRST EDITION VG+",999,Pre-Owned,416,False,
"The Remains of the Day by Ishiguro, Kazuo Paperback Book 1st American Edition",595,Pre-Owned,349,False,
"Never Let Me Go, Ishiguro, Kazuo",769,Pre-Owned,0,False,
The Remains of the Day by Kazuo Ishiguro Softcover Trade Paperback 9780679731726,1495,Brand New,0,False,
"An Artist of the Floating World by Ishiguro, Kazuo",600,Pre-Owned,0,True,
Shop on eBay,2000,Brand New,,False,
The Remains of the Day: A Novel By Kazuo Ishiguro - Very Good (Paperback),1499,Pre-Owned,449,False,
Klara and the Sun by Kazuo Ishiguro paperback,1116,Pre-Owned,319,True,
"Never Let Me Go by Ishiguro, Kazuo",600,Pre-Owned,0,True,
